Date,Yes,No
2020 Aug 17-30,72,28
2020 Aug 10-16,72,28
2020 Aug 3-9,73,27
2020 Jul 27-Aug 2,73,27
2020 Jul 20-26,71,29
2020 Jul 13-19,72,28
2020 Jul 6-12,74,26
2020 Jun 29-Jul 5,75,25
2020 Jun 22-28,74,26
2020 Jun 15-21,72,28
2020 Jun 8-14,73,27
2020 Jun 1-7,69,31
2020 May 25-31,72,28
2020 May 18-24,72,28
2020 May 11-17,71,29
2020 May 4-10,72,28
2020 Apr 27-May 3,71,29
2020 Apr 20-26,70,30
2020 Apr 13-19,68,32
2020 Apr 6-12,69,31
2020 Mar 30-Apr 5,67,33
2020 Mar 23-29,67,33
