Date,Yes,No
2020 Aug 17-30,55,45
2020 Aug 10-16,56,44
2020 Aug 3-9,53,47
2020 Jul 27-Aug 2,55,45
2020 Jul 20-26,57,43
2020 Jul 13-19,54,46
2020 Jul 6-12,52,48
2020 Jun 29-Jul 5,52,48
2020 Jun 22-28,52,48
2020 Jun 15-21,51,49
2020 Jun 8-14,51,49
2020 Jun 1-7,55,45
2020 May 25-31,52,48
2020 May 18-24,53,47
2020 May 11-17,51,49
2020 May 4-10,53,47
2020 Apr 27-May 3,55,45
2020 Apr 20-26,55,45
2020 Apr 13-19,57,43
2020 Apr 6-12,57,43
2020 Mar 30-Apr 5,60,40
2020 Mar 23-29,60,40
