Date,Yes,No
2020 Aug 17-30,36,64
2020 Aug 10-16,39,61
2020 Aug 3-9,34,66
2020 Jul 27-Aug 2,36,64
2020 Jul 20-26,37,63
2020 Jul 13-19,38,62
2020 Jul 6-12,33,67
2020 Jun 29-Jul 5,36,64
2020 Jun 22-28,37,63
2020 Jun 15-21,31,69
2020 Jun 8-14,32,68
2020 Jun 1-7,31,69
2020 May 25-31,35,65
2020 May 18-24,39,61
2020 May 11-17,40,60
2020 May 4-10,42,58
2020 Apr 27-May 3,41,59
2020 Apr 20-26,44,56
2020 Apr 13-19,47,53
2020 Apr 6-12,44,56
2020 Mar 30-Apr 5,47,53
2020 Mar 23-29,45,55
