Date,Yes,No
2020 Aug 17-30,22,78
2020 Aug 10-16,27,73
2020 Aug 3-9,20,80
2020 Jul 27-Aug 2,22,78
2020 Jul 20-26,23,77
2020 Jul 13-19,27,73
2020 Jul 6-12,22,78
2020 Jun 29-Jul 5,22,78
2020 Jun 22-28,20,80
2020 Jun 15-21,22,78
2020 Jun 8-14,22,78
2020 Jun 1-7,21,79
2020 May 25-31,23,77
2020 May 18-24,23,77
2020 May 11-17,24,76
2020 May 4-10,25,75
2020 Apr 27-May 3,23,77
2020 Apr 20-26,26,74
2020 Apr 13-19,27,73
2020 Apr 6-12,24,76
2020 Mar 30-Apr 5,25,75
2020 Mar 23-29,24,76
