Date,Yes,No
2020 Aug 17-30,26,74
2020 Aug 10-16,25,75
2020 Aug 3-9,24,76
2020 Jul 27-Aug 2,24,76
2020 Jul 20-26,27,73
2020 Jul 13-19,25,75
2020 Jul 6-12,21,79
2020 Jun 29-Jul 5,24,76
2020 Jun 22-28,24,76
2020 Jun 15-21,25,75
2020 Jun 8-14,27,73
2020 Jun 1-7,38,62
2020 May 25-31,25,75
2020 May 18-24,22,78
2020 May 11-17,24,76
2020 May 4-10,24,76
2020 Apr 27-May 3,26,74
2020 Apr 20-26,24,76
2020 Apr 13-19,25,75
2020 Apr 6-12,24,76
2020 Mar 30-Apr 5,24,76
2020 Mar 23-29,24,76
