Date,Yes,No
2020 Aug 17-30,41,59
2020 Aug 10-16,42,58
2020 Aug 3-9,41,59
2020 Jul 27-Aug 2,40,60
2020 Jul 20-26,44,56
2020 Jul 13-19,39,61
2020 Jul 6-12,38,62
2020 Jun 29-Jul 5,38,62
2020 Jun 22-28,38,62
2020 Jun 15-21,36,34
2020 Jun 8-14,40,60
2020 Jun 1-7,41,59
2020 May 25-31,39,61
2020 May 18-24,41,59
2020 May 11-17,41,59
