Date,Yes,No
2020 Aug 17-30,67,33
2020 Aug 10-16,66,34
2020 Aug 3-9,68,32
2020 Jul 27-Aug 2,69,31
2020 Jul 20-26,64,36
2020 Jul 13-19,65,35
2020 Jul 6-12,69,31
2020 Jun 29-Jul 5,70,30
2020 Jun 22-28,67,33
2020 Jun 15-21,69,31
2020 Jun 8-14,70,30
2020 Jun 1-7,64,36
2020 May 25-31,69,31
2020 May 18-24,66,34
2020 May 11-17,66,34
2020 May 4-10,65,35
2020 Apr 27-May 3,67,33
2020 Apr 20-26,63,37
2020 Apr 13-19,61,39
2020 Apr 6-12,64,36
2020 Mar 30-Apr 5,61,39
2020 Mar 23-29,61,39
