Date,Yes,No
2020 Aug 17-30,22,78
2020 Aug 10-16,25,75
2020 Aug 3-9,26,74
2020 Jul 27-Aug 2,20,80
2020 Jul 20-26,23,77
2020 Jul 13-19,19,81
2020 Jul 6-12,17,83
2020 Jun 29-Jul 5,17,83
2020 Jun 22-28,17,83
2020 Jun 15-21,19,81
2020 Jun 8-14,20,80
2020 Jun 1-7,21,79
2020 May 25-31,20,80
2020 May 18-24,20,80
2020 May 11-17,18,82
