Date,Yes,No
2020 Aug 17-30,48,52
2020 Aug 10-16,47,53
2020 Aug 3-9,48,52
2020 Jul 27-Aug 2,46,54
2020 Jul 20-26,51,49
2020 Jul 13-19,48,52
2020 Jul 6-12,47,53
2020 Jun 29-Jul 5,47,53
2020 Jun 22-28,47,53
2020 Jun 15-21,46,54
2020 Jun 8-14,47,53
2020 Jun 1-7,50,50
2020 May 25-31,46,54
2020 May 18-24,48,52
2020 May 11-17,47,53
2020 May 4-10,46,54
2020 Apr 27-May 3,48,52
2020 Apr 20-26,52,48
2020 Apr 13-19,52,48
2020 Apr 6-12,56,44
2020 Mar 30-Apr 5,60,40
2020 Mar 23-29,58,42
