Date,Have done,"Considered
doing","Have not
considered"
2020 Aug 17-30,74,6,20
2020 Aug 10-16,75,6,19
2020 Aug 3-9,76,5,18
2020 Jul 27-Aug 2,78,6,16
2020 Jul 20-26,77,6,17
2020 Jul 13-19,78,6,16
2020 Jul 6-12,77,6,18
2020 Jun 29-Jul 5,74,6,20
2020 Mar 23-29,91,2,7
2020 Mar 16-22,85,8,7
2020 Mar 13-15,59,24,16
